Articles,Cosine Distance
Trump inauguration: key moments - CNNPolitics.com,0.51
What's on the agenda for Tuesday in Washington - CNNPolitics.com,0.518
Paul Ryan invites Trump to address Congress February 28 - CNNPolitics.com,0.529
US orders first drone strikes under Trump - CNNPolitics.com,0.535
Obama's post-inauguration remarks: Full text  - CNNPolitics.com,0.547
Trump admin tells National Park Service to halt tweets - CNNPolitics.com,0.553
"CA governor to Trump: CA is not turning back. Not now, not ever. - CNNPolitics.com",0.573
Conway: Trump White House offered 'alternative facts' on crowd size - CNNPolitics.com,0.574
There's something amiss with this inauguration photo - CNNPolitics.com,0.575
Mike Pence won't say if Russia should be punished for hacking - CNNPolitics.com,0.59
"From Russia with love: A $10,000 Trump coin - CNN.com",0.591
Melania Trump returns to New York - CNNPolitics.com,0.602
Russia calls US troop buildup 'a 'threat' - CNN.com,0.606
"Obama tweets final message from White House, announces new website - CNNPolitics.com",0.612
Saudi Arabia Fast Facts - CNN.com,0.615
Marco Rubio to vote to confirm Rex Tillerson as secretary of state - CNNPolitics.com,0.62
Somalia Fast Facts - CNN.com,0.625
Russia prepares to decriminalize some domestic violence - CNN.com,0.627
Mattis readies possible ISIS options for Trump Pentagon visit - CNNPolitics.com,0.628
Cheering crowds swarm Rep. John Lewis at DC airport - CNNPolitics.com,0.629
Senate committee approves Tillerson for secretary of state - CNNPolitics.com,0.632
James Comey staying on as FBI director  - CNNPolitics.com,0.636
Lewinsky cites Barron Trump incident to denounce cyberbullying - CNNPolitics.com,0.637
"On the eve of Trump's inauguration, one Mississippi Delta town looks back -- and forward - CNNPolitics.com",0.644
Trump on Supreme Court pick: 'I think in my mind I know who it is' - CNNPolitics.com,0.651
Betsy DeVos won't get a second hearing - CNNPolitics.com,0.653
NAFTA: GOP leaders fire warning shot to Trump  - CNNPolitics.com,0.657
Obama Pentagon chief: I did not recommend Manning commutation - CNNPolitics.com,0.659
"Trump advances Keystone pipeline, DAPL with executive actions - CNNPolitics.com",0.661
Trump suggests he would be open to lifting sanctions on Russia - CNNPolitics.com,0.662
Cards Against Humanity seeks new CEO (that sounds an awful lot like our last President) - CNNPolitics.com,0.663
Trump's new world disorder - CNNPolitics.com,0.665
